AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Account,EmploymentSince,PrecentOfIncome,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallPlans,Housing,NumExistingCredits,Job,NumMaintenance,Telephone,ForeignWorker,sexe
0,6,1,3,662,1,4,3,0,0,4,0,41,0,0,1,1,2,0,0,0
1,24,1,3,1246,1,4,4,0,0,2,0,23,2,0,1,1,1,1,0,0
0,15,1,3,1721,1,4,2,0,0,3,0,36,0,0,1,0,1,1,0,0
0,48,1,4,4788,1,2,4,0,0,3,1,26,0,0,1,0,2,1,0,0
1,60,1,1,6288,1,1,4,0,0,4,2,42,0,1,1,0,1,1,0,0
1,12,0,3,1995,4,4,4,0,0,1,3,27,0,0,1,0,1,1,0,0
0,12,4,0,2149,1,1,4,2,0,1,2,29,0,1,1,0,1,1,0,0
3,21,1,3,2923,4,1,1,1,0,1,3,28,1,0,1,2,1,0,0,1
2,48,0,0,3578,0,0,4,0,0,1,0,47,0,0,1,0,1,0,0,0
2,24,0,0,1851,1,2,4,3,1,2,3,33,0,0,2,0,1,0,0,0
0,24,1,0,2439,1,4,4,1,0,4,0,35,0,0,1,0,1,0,0,1
2,24,1,0,1376,2,2,4,1,0,1,3,28,0,0,1,0,1,1,0,1
1,9,1,0,1670,1,4,4,1,0,2,3,22,0,0,1,0,1,0,0,1
0,18,1,0,3190,1,1,2,1,0,2,0,24,0,0,1,0,1,1,0,1
0,12,1,3,1274,1,4,3,1,0,1,0,37,0,0,1,1,1,1,0,1
2,24,1,0,3105,0,4,4,0,0,2,3,25,0,0,2,0,1,1,0,0
2,12,0,5,1185,1,1,3,1,0,2,0,27,0,0,2,0,1,1,0,1
2,9,0,1,1244,0,0,4,1,0,4,1,41,0,2,2,1,1,1,0,1
0,12,1,2,3590,1,1,2,0,2,2,1,29,0,0,1,1,2,1,0,0
2,15,0,2,2788,1,2,2,1,2,3,3,24,1,0,2,0,1,1,0,1
1,7,1,0,2329,1,4,1,1,1,1,0,45,0,0,1,0,1,1,0,1
3,12,4,0,409,3,1,3,1,0,3,0,42,0,2,2,0,1,1,0,1
1,9,1,3,1549,0,4,4,0,0,2,0,35,0,0,1,3,1,1,0,0
2,6,4,3,783,0,1,1,0,1,2,0,26,2,0,1,1,2,1,0,0
2,9,1,0,1478,1,2,4,0,0,2,3,22,0,0,1,0,1,1,0,0
1,6,1,0,2063,1,4,4,3,0,3,3,30,0,2,1,2,1,0,0,0
0,36,1,0,2302,1,1,4,2,0,4,3,31,0,2,1,0,1,1,0,0
0,24,4,2,3552,1,2,3,0,0,4,3,27,1,0,1,0,1,1,0,0
0,6,1,3,1374,0,3,4,1,0,3,1,75,0,0,1,2,1,0,0,1
2,10,0,2,2146,1,4,1,1,0,3,0,23,0,2,2,0,1,1,0,1
2,15,0,0,1471,1,1,4,0,0,4,2,35,0,1,2,0,1,0,0,0
2,24,1,2,5511,4,1,4,0,0,1,3,25,2,0,1,0,1,1,0,0
1,6,1,0,368,0,0,4,0,0,4,1,38,0,0,1,0,1,1,0,0
2,18,1,4,3378,0,1,2,0,0,1,1,31,0,0,1,0,1,0,0,0
2,24,0,8,6314,1,3,4,0,2,2,2,27,1,0,2,2,1,0,0,0
1,36,4,6,3990,0,4,3,1,0,2,2,29,1,0,1,3,1,1,0,1
1,36,1,2,9034,4,4,4,0,2,1,2,29,0,2,1,2,1,0,0,0
0,24,0,0,1231,3,0,4,1,0,4,1,57,0,2,2,2,1,0,0,1
2,9,0,1,936,2,0,4,0,0,2,3,52,0,0,2,0,1,0,0,0
1,36,1,3,12389,0,1,1,0,0,4,2,37,0,1,1,0,1,0,0,0
0,48,3,2,7119,1,1,3,0,0,4,2,53,0,1,2,0,2,1,0,0
1,36,1,0,2671,4,1,4,1,2,4,2,50,0,1,1,0,1,1,0,1
0,36,0,4,9629,1,2,4,0,0,4,3,24,0,0,2,0,1,0,0,0
3,15,1,5,2687,1,2,2,0,0,4,1,26,0,2,1,0,1,0,0,0
0,6,0,2,3384,1,1,1,2,0,4,0,44,0,2,1,2,1,0,0,0
1,8,1,0,760,1,2,4,1,1,2,0,44,0,0,1,1,1,1,0,1
3,30,2,5,1908,1,0,4,0,0,4,0,66,0,0,1,2,1,0,0,0
3,24,1,2,2892,1,0,3,2,0,4,2,51,0,1,1,0,1,1,0,0
1,12,1,0,6468,0,3,2,0,0,1,2,52,0,0,1,2,1,0,0,0
0,12,1,2,7865,1,0,4,0,0,4,2,53,0,1,1,2,1,0,0,0
2,21,0,3,12680,0,0,4,0,0,4,2,30,0,1,1,2,1,0,0,0
0,6,0,3,666,3,2,3,1,0,4,0,39,0,0,2,1,1,0,0,1
2,24,2,3,717,0,0,4,3,0,4,3,54,0,0,2,0,1,0,0,0
2,12,0,0,797,0,0,4,1,0,3,1,33,1,0,1,1,2,1,0,1
2,24,0,7,5507,1,0,3,0,0,4,2,44,0,1,2,0,1,1,0,0
0,40,0,1,5998,1,1,4,0,0,3,2,27,1,0,1,0,1,0,0,0
2,12,1,2,1123,2,1,4,1,0,4,3,29,0,2,1,1,1,1,0,1
1,9,0,1,1136,3,0,4,0,0,3,2,32,0,1,2,0,2,1,0,0
2,6,1,4,1236,2,1,2,0,0,4,1,50,0,2,1,0,1,1,0,0
1,18,1,0,866,1,1,4,3,1,2,0,25,0,0,1,1,1,1,0,0
3,12,0,3,939,2,2,4,3,0,2,0,28,0,0,3,0,1,0,0,0
0,12,3,7,1108,1,2,4,0,0,3,0,28,0,0,2,0,1,1,0,0
2,24,0,4,5804,3,1,4,0,0,2,0,27,0,0,2,0,1,1,0,0
2,12,0,7,996,0,2,4,1,0,4,0,23,0,0,2,0,1,1,0,1
