AccountStatus,Duration,CreditHistory,Purpose,CreditAmount,Account,EmploymentSince,PrecentOfIncome,PersonalStatus,OtherDebtors,ResidenceSince,Property,Age,OtherInstallPlans,Housing,NumExistingCredits,Job,NumMaintenance,Telephone,ForeignWorker,sexe
2,12,0,1,701,1,1,4,0,0,2,3,32,0,0,2,0,1,1,0,0
2,24,1,3,3757,1,0,4,1,2,4,2,62,0,1,1,0,1,0,0,1
1,9,1,3,276,1,1,4,3,0,4,0,22,0,2,1,1,1,1,0,0
0,18,1,3,4380,4,1,3,0,0,4,3,35,0,0,1,1,2,0,0,0
2,15,0,0,1459,1,1,4,1,0,2,3,43,0,0,1,1,1,1,0,1
1,15,0,0,1537,0,0,4,0,1,4,0,50,0,0,2,0,1,0,0,0
0,24,1,0,1823,1,3,4,0,0,2,3,30,2,0,1,2,2,1,0,0
2,12,1,3,2390,0,0,4,0,0,3,3,50,0,0,1,0,1,0,0,0
0,9,1,0,1366,1,4,3,1,0,4,1,22,0,2,1,0,1,1,0,1
2,6,3,0,426,1,0,4,3,0,4,3,39,0,0,1,1,1,1,0,0
0,36,1,1,1977,0,0,4,0,0,4,2,40,0,0,1,2,1,0,0,0
1,12,1,3,836,4,4,4,1,0,2,1,23,1,0,1,1,1,1,0,1
2,24,1,3,7393,1,1,1,0,0,4,1,43,0,0,1,1,2,1,0,0
1,12,0,0,3573,1,1,1,1,0,1,0,23,0,0,1,1,1,1,0,1
2,18,2,2,1808,1,2,4,1,0,1,0,22,0,0,1,0,1,1,0,1
0,15,1,6,1275,0,1,4,1,0,2,3,24,0,2,1,0,1,1,0,1
1,18,1,5,1913,3,4,3,3,0,3,0,36,1,0,1,0,1,0,0,0
1,8,1,5,907,1,4,3,3,0,2,0,26,0,0,1,0,1,0,0,0
0,24,1,4,2964,0,0,4,0,0,4,2,49,1,1,1,0,2,0,0,0
3,36,1,0,3913,1,1,2,0,0,2,0,23,0,0,1,0,1,0,0,0
0,36,1,2,3446,1,0,4,0,0,2,3,42,0,0,1,0,2,1,0,0
2,48,2,0,7238,0,0,3,0,0,3,3,32,1,0,2,0,2,1,0,0
1,6,2,5,1449,4,0,1,2,0,2,3,31,1,0,2,0,2,1,0,0
2,18,0,4,3850,1,2,3,0,0,1,3,27,0,0,2,0,1,1,0,0
2,9,1,1,3832,0,0,1,0,0,4,0,64,0,0,1,1,1,1,0,0
1,27,3,5,8318,1,0,2,1,0,4,2,42,0,1,2,2,1,0,0,1
3,6,1,3,709,3,4,2,3,0,2,0,27,0,0,1,3,1,1,1,0
1,36,0,0,2337,1,0,4,0,0,4,0,36,0,0,1,0,1,1,0,0
1,12,0,3,2366,2,2,3,2,0,3,3,36,0,0,1,2,1,0,0,0
2,15,1,0,1386,0,1,4,3,0,2,0,40,0,2,1,0,1,0,0,0
1,18,0,2,3612,1,0,3,1,0,4,1,37,0,0,1,0,1,0,0,1
1,10,1,3,7308,1,3,2,0,0,4,2,70,1,1,1,2,1,0,0,0
2,24,0,4,6842,0,1,2,0,0,4,1,46,0,0,2,2,2,0,0,0
0,36,0,2,2348,1,1,3,3,0,2,1,46,0,0,2,0,1,0,0,0
1,60,1,3,14027,1,2,4,0,0,2,2,27,0,0,1,2,1,0,0,0
2,24,0,0,2872,4,0,3,0,0,4,0,36,0,0,1,0,2,0,0,0
2,6,0,0,1237,4,1,1,1,0,1,1,27,0,0,2,0,1,1,0,1
1,60,1,3,7408,4,4,4,1,0,2,1,24,0,0,1,2,1,1,0,1
2,18,0,0,1582,3,0,4,0,0,4,3,46,0,0,2,0,1,1,0,0
0,12,1,3,1168,1,1,4,3,0,3,0,27,0,0,1,1,1,1,0,0
0,9,0,3,2799,1,1,2,0,0,2,0,36,0,2,2,0,2,1,0,0
2,18,0,0,2404,1,1,2,1,0,2,3,26,0,0,2,0,1,1,0,1
2,14,2,3,802,1,1,4,0,0,2,3,27,0,0,2,1,1,1,0,0
0,15,1,3,3959,1,1,3,1,0,2,1,29,0,0,1,0,1,0,0,1
0,24,4,3,1193,1,3,1,1,2,4,2,29,0,2,2,3,1,1,0,1
3,6,0,3,1343,1,0,1,0,0,4,0,46,0,0,2,0,2,1,1,0
0,12,0,2,2246,1,0,3,0,0,3,1,60,0,0,2,0,1,1,0,0
1,12,1,0,1092,1,1,4,1,1,4,0,49,0,0,2,0,1,0,0,1
2,5,1,5,3448,1,2,1,0,0,4,0,74,0,0,1,1,1,1,0,0
2,12,0,3,1495,1,0,4,0,0,1,0,38,0,0,2,1,2,1,0,0
3,12,4,5,609,1,4,4,1,0,1,0,26,0,0,1,3,1,1,0,1
2,18,1,0,4594,1,4,3,0,0,2,3,32,0,0,1,0,1,0,0,0
0,24,1,2,3345,1,0,4,0,0,2,1,39,0,2,1,2,1,0,0,0
0,48,1,3,7763,1,0,4,0,0,4,2,42,1,1,1,2,1,1,0,0
1,48,2,8,7582,4,3,2,0,0,4,2,31,0,1,1,2,1,0,0,0
0,18,3,5,3104,1,2,3,0,0,1,1,31,1,0,1,0,1,0,0,0
2,15,1,2,2708,1,4,2,0,0,3,1,27,1,0,2,1,1,1,0,0
0,12,1,1,684,1,1,4,0,0,4,3,40,0,2,1,1,2,1,0,0
2,30,1,0,2333,2,0,4,0,0,2,3,30,1,0,1,2,1,1,0,0
0,48,1,1,7476,1,2,4,0,0,1,2,50,0,1,1,2,1,0,0,0
1,48,1,8,5381,0,3,3,0,0,4,2,40,1,1,1,3,1,0,0,0
1,18,0,5,1887,0,1,4,3,0,4,0,28,1,0,2,0,1,1,0,0
2,18,0,4,3229,0,3,2,0,0,4,2,38,0,0,1,2,1,0,0,0
0,15,0,2,1478,1,0,4,0,0,4,3,44,0,0,2,0,2,0,0,0
0,24,1,8,1755,1,0,4,1,1,4,0,58,0,0,1,1,1,0,0,1
0,36,1,2,5179,1,2,4,0,0,2,1,29,0,0,1,0,1,1,0,0
1,24,1,0,3758,2,3,1,1,0,4,2,23,0,2,1,3,1,1,0,1
0,24,1,3,4817,1,2,2,0,2,3,1,31,0,0,1,0,1,0,0,0
1,21,1,5,1188,1,0,2,1,0,4,1,39,0,0,1,0,2,1,0,1
0,24,4,0,1546,1,2,4,0,1,4,3,24,1,2,1,1,1,1,0,0
2,15,1,4,3029,1,2,2,0,0,2,3,33,0,0,1,0,1,1,0,0
0,21,0,3,1602,1,0,4,3,0,3,3,30,0,0,2,0,1,0,0,0
0,30,3,5,8072,0,4,2,0,0,3,3,25,1,0,3,0,1,1,0,0
1,18,1,0,1301,1,0,4,3,1,2,0,32,0,0,1,1,1,1,0,0
1,15,1,0,802,1,0,4,0,0,3,3,37,0,0,1,0,2,1,0,0
1,48,4,5,3566,4,2,4,0,0,2,3,30,0,0,1,0,1,1,0,0
2,36,1,1,9055,0,1,2,0,0,4,2,35,0,1,1,1,2,0,0,0
2,12,1,3,640,1,1,4,2,0,2,0,49,0,0,1,1,1,1,0,0
1,12,0,6,1424,1,2,4,0,0,3,1,26,0,0,1,0,1,1,0,0
1,24,0,0,1743,1,0,4,0,0,2,1,48,0,0,2,1,1,1,0,0
2,36,0,3,7855,1,1,4,1,0,2,0,25,2,0,2,0,1,0,0,1
3,10,1,2,1275,1,4,4,1,0,2,1,23,0,0,1,0,1,1,0,1
0,24,4,5,3161,1,1,4,0,0,2,1,31,0,2,1,0,1,0,0,0
3,12,1,2,1474,1,4,4,1,0,1,1,33,1,0,1,2,1,0,0,1
2,36,1,2,10974,1,3,4,1,0,2,3,26,0,0,2,2,1,0,0,1
2,24,1,3,2255,0,4,4,0,0,1,1,54,0,0,1,0,1,1,0,0
2,24,2,5,3863,1,1,1,0,0,2,2,32,0,1,1,0,1,1,0,0
2,11,0,3,1393,1,4,4,1,0,4,3,35,0,0,2,2,1,1,0,1
